pi,i
9.168428268902229,7.77
9.531017980432477,7.12
9.656619839105085,7.96
9.593407501017115,8.33
10.170921082532258,8.23
10.309550902697406,7.9
10.9199291964992,7.55
10.335851298715326,8.96
11.285448945523413,8.06
11.191791620398517,7.46
11.511669060319107,7.47
11.417682907965476,7.15
11.111316814727612,6.26
10.620582424577707,5.5
9.948555121480585,5.49
9.700973644040634,5.61
8.855339734144518,5.23
8.786135579133436,5.34
9.105996551563011,6.13
8.265990568812764,6.44
7.608230645743941,6.42
7.368771579115885,5.96
7.119110085859859,5.48
6.886441108469343,5.44
6.477749831638757,4.87
6.0848260417389,4.88
5.884050002293373,5.0
5.684389897652897,4.86
6.029223025611996,5.2
5.809255683174586,5.41
5.4067221270275745,5.23
5.561971527509346,5.14
5.348868495098635,5.08
5.320403606346513,4.92
4.9392755329576765,4.75
4.913268857764486,4.35
5.066585744678598,4.62
5.904492584262666,4.67
6.230388333615444,4.6
6.720874969344948,4.54
6.520319381076245,4.96
6.486915430308926,5.02
6.453852113757108,5.19
6.421124245685572,5.49
6.22572752403201,5.81
6.194448596052471,6.16
6.496872118722585,6.1
6.464553595922595,6.07
6.592172080482417,6.44
6.052542038785269,6.45
6.180828737187571,6.29
6.297479916138826,6.29
6.899287148695077,6.41
7.174390485884086,6.73
7.446035366908532,7.01
7.562657533091155,7.08
8.142210471964262,7.85
8.55221734381617,7.99
8.499321283339256,8.64
8.607460877124318,9.08
8.847229762930464,9.35
9.386613623209161,9.32
9.760178779658446,9.48
9.971078311570736,9.46
10.163264554381257,9.61
10.505277600314411,9.06
10.840929850718428,9.24
11.186435768683012,9.52
11.225399417723825,10.26
11.3967186978158,11.7
11.860574240784683,11.79
12.44698419469481,12.04
12.987508142141202,12.0
13.244698984339731,12.86
13.621020483454949,15.2
13.618367956525024,13.2
13.475613252041807,8.58
13.335824744185398,7.07
12.35502393785417,8.06
12.12445486318714,9.13
12.01696716341143,10.27
11.896437070221477,11.62
11.895194286136501,13.73
11.648179929841174,15.49
11.149550422534205,15.02
10.788896201118536,14.79
10.085600353672142,13.36
9.654551041231763,13.69
9.341676719879288,16.3
9.255155736524578,14.73
10.23292917545433,14.95
10.271278273538531,15.51
10.40485708098604,14.7
9.777574357678809,13.54
9.14795728644826,10.86
8.537037078132403,10.85
7.933674223652165,12.28
7.3377185713825455,13.48
6.658214258099715,12.68
6.411755712377687,12.7
6.683521282464255,12.09
6.936112779750214,12.47
6.3513405722325444,11.35
5.794142848618922,8.68
4.822737476571604,7.92
4.909602133652058,7.71
4.380262265839363,8.07
3.754351245740306,7.94
3.6405476385009017,7.86
3.425347847853999,8.11
3.5273366379285243,8.35
3.9220713153281572,8.21
3.383203240143473,8.19
2.444113515914559,8.79
2.3315805313616877,9.08
2.426812727243721,9.34
2.7260648208891958,9.0
2.7150989065950704,8.64
3.114264735585337,8.76
3.7171532108345673,9.0
4.2006175634154985,8.9
4.587045406609658,9.09
4.777027626868602,9.52
